id	sentence
0	他们坑儿挖浅了。
1	他们挖浅了坑儿。
2	玛丽常常流眼泪。
3	玛丽常常流她的眼泪。
4	玛丽常常流自己的眼泪。
5	妈妈在喂弟弟奶。
6	妈妈在喂弟弟她的奶。
7	妈妈在喂弟弟自己的奶。
8	我使张三生气了。
9	张三，我使生气了。
10	张三被李四派警察抓走了。
11	张三被派警察抓走了。
12	小偷可能从小路逃走了。
13	从小路小偷可能逃走了。
14	张三说他来过。
15	张三设法他来过。
16	我想吃这个苹果。
17	我想吃这的苹果。
18	阿姨买了一大棵的高丽菜。
19	阿姨买了一大的棵高丽菜。
20	他看书看了三个小时。
21	他看了书看三个小时。
22	叔叔卖了一大条鱼。
23	叔叔卖了一大的条鱼。
24	张三吃了1/3粒的感冒药。
25	张三吃了1/3的粒感冒药。
26	大李把玛丽的关心忘记了。
27	大李把玛丽关心忘记了。
28	他喜欢长发的物理学生。
29	他喜欢物理学生长发的。
30	张三弹钢琴跟李四吹口哨的声音都很好听。
31	张三所听到的跟李四吹口哨的声音都很好听。
32	张三代写论文跟李四代考的价码是一样的。
33	张三所要求的跟李四代考的价码是一样的。
34	自张三申请的次年开始，名额变多了。
35	自张三说申请的次年开始，名额变多了。
36	他能说又能写的能力跟你能歌又能舞的本领一样强。
37	他能说又能写的能力跟你能歌又能舞的一样强。
38	我听说了露露居然抢了银行的报道。
39	我闻到了露露居然煮饭的味道。
40	张三做起事来不用心。
41	张三不做起事来很用心。
42	他训练马把马训练得很好。
43	他训练马训练得把马很好。
44	张三房子盖得很快。
45	张三房子盖好得很快。
46	张三跑起步来很快。
47	张三相信起你来很坚定。
48	玛丽通常跑得很快。
49	玛丽跑得通常很快。
50	在我看起来，这件事很奇怪。
51	在他想起来，这件事很奇怪。
52	在我看起来，张三很奇怪。
53	在他看起那件事来，张三很奇怪。
54	你吃这双筷子吧！
55	你吃这把叉子吧！
56	他死在医院里。
57	他死医院里。
58	我故意烤肉来安慰他。
59	这个烤箱故意烤肉来安慰他。
60	望远镜，看室外就好了。
61	室外，望远镜看就好了。
62	他把早上的电影都看了。
63	他把早上都看了。
64	谁，你认识，而谁，你又不认识？
65	什么东西你买了，什么东西还没买？
66	有一个人喜欢李四吗？
67	有一个人喜不喜欢李四。
68	我去找个什么人来帮你。
69	我找了个什么人来帮你。
70	张三说有一个人爱吃什么？
71	张三说有一个人爱不爱吃蛋糕。
72	张三为什么拿到礼物？
73	张三有为什么拿到礼物？
74	他为什么吃鱼？
75	他不为什么吃鱼？
76	他们组上星期三可能加班。
77	他们组上星期三可能上星期五加班。
78	他们组上星期三可能加了班。
79	他们组上星期三可能上星期五加了班。
80	上星期三他们组可能加班。
81	上星期三他们组可能上星期五加班。
82	张三昨天还做得完那些作业。
83	张三昨天做得完那些作业。
84	张三明天仍可能离开那支球队。
85	张三明天仍可能后天离开那支球队。
86	我的椅子比你的桌子高。
87	我的椅子比你的桌子宽高。
88	张三明天仍可能赢了那场比赛。
89	张三仍可能昨天上午赢了那场比赛。
90	他很快地向我跑过来。
91	他快地向我跑过来。
92	他告诉朋友呀，去投奔亲戚。
93	他告诉呀，朋友去投奔亲戚。
94	那段路走累了他。
95	那段路走很累了他。
96	他气得我不想写信了。
97	他气不想了我写信。
98	张三吓得脸色都变了。
99	张三吓得脸色呀都变了。
100	他喝酒喝得醉醺醺的。
101	他喝得酒醉醺醺的。
102	李四在工作了，他还已经有房子了。
103	李四在工作了，他已经还有房子了。
104	李四小时候会游泳，他现在还会游。
105	李四小时候会游泳，他现在会还游。
106	张三或许还比李四高。
107	张三还或许比李四高。
108	我对你很客气。
109	我很对你客气。
110	这个地方昨天或许还安全。
111	这个地方昨天还或许安全。
112	张三还能走路。
113	张三能还走路。
114	这件衣服还算好看。
115	这件衣服还好看。
116	玛丽突然离开使张三很生气。
117	使张三很生气玛丽突然离开。
118	玛丽突然离开这件事使张三很生气。
119	这件事使张三很生气玛丽突然离开。
120	玛丽突然离开激怒了李四。
121	激怒了李四玛丽突然离开。
122	他居然给我喝了三瓶酒！
123	他居然给我们喝了三瓶酒！
124	他居然喝了他三瓶酒！
125	他居然给他喝了三瓶酒！
126	阿Q喝醉了。
127	阿Q喝醉小D了。
128	阿Q修了赵家三扇门。
129	赵家被阿Q修了三扇门。
130	张三很高。
131	张三高。
132	阿Q跑了老婆。
133	阿Q被跑了老婆。
134	阿Q死了老婆。
135	阿Q死了小D的老婆。
136	我们吃它一个饱！
137	我们吃到它个饱！
138	咱们玩它个痛快。
139	咱们玩它痛快。
140	我们吃它一个痛快！
141	我们吃它那么一个痛快！
142	吃它一个痛快。
143	吃它呀一个痛快。
144	我了解李安对艺术的贡献。
145	我了解艺术呀李安的贡献。
146	我们玩了一个痛快。
147	我们玩了它一个痛快。
148	雅慧游泳了。
149	游泳了雅慧。
150	李奇在十分钟之内吃了一顿饭。
151	李奇在十分钟之内吃了餐厅。
152	张三比李四稍微高一点。
153	张三比李四稍微高。
154	李奇写呀写。
155	李奇写呀写一封信。
156	李奇开下午，不是开上午。
157	李奇笑下午，不是笑上午。
158	我的椅子比你的桌子宽。
159	我的椅子高比你的桌子宽。
